isDlc,Area,BossName,IsInitializeDeadSet,NpcParamIds,BlockId,FirstEncounterFlags,BossFlags,Coords,Angle,CoordsFE,Angle,ShouldSetNight,BossBlockId
FALSE,Limgrave,Beastman of Farum Azula,FALSE,39701910,520290304,31030801:FALSE,31030800:FALSE|9233:FALSE|520330:FALSE|31035014:FALSE,-94.56|89.93|63.94|1,2.5,-94.56|89.93|63.94|1,2.5,FALSE,520290304
FALSE,Limgrave,Bell Bearing Hunter,TRUE,31000033,1009395200,,1042380850:FALSE|1042387410:FALSE,-2.71|188.32|102.02|1,-0.87,-2.71|188.32|102.02|1,-0.87,TRUE,1009395200
FALSE,Limgrave,Black Knife Assassin,FALSE,21000820,504037376,,30110800:FALSE|9203:FALSE|520030:FALSE,-171.94|177.79|23.30|1,1.47,-171.94|177.79|23.30|1,1.47,FALSE,504037376
FALSE,Limgrave,Bloodhound Knight Darriwil,FALSE,42900010,1009525504,,1044350800:FALSE|530130:FALSE,-15.51|104.36|-112.79|1,0.8,-15.51|104.36|-112.79|1,0.8,FALSE,1009525504
FALSE,Limgrave,Crucible Knight,FALSE,25000010,1009394944,,1042370800:FALSE|530120:FALSE,-68.52|158.16|45.94|1,-0.83,-68.52|158.16|45.94|1,-0.83,FALSE,1009394944
FALSE,Limgrave,Crystalian,FALSE,33500920,537001984,,32020800:FALSE|9262:FALSE|520620:FALSE,23.46|112.06|-3.61|1,3.13,23.46|112.06|-3.61|1,3.13,FALSE,537001984
FALSE,Limgrave,Deathbird,TRUE,31000033,1009530112,,1042380800:FALSE|1042387400:FALSE,-43.66|1023.38|47.83|1,-2.53,-43.66|1023.38|47.83|1,-2.53,TRUE,1009530112
FALSE,Limgrave,Demi-Human Chiefs,TRUE,41200910,521076736,31150815:FALSE,31150800:FALSE|9234:FALSE|520340:FALSE,20.10|-26.18|-72.41|1,-0.02,20.10|-26.18|-72.41|1,-0.02,FALSE,521076736
FALSE,Limgrave,Erdtree Burial Watchdog,FALSE,42600110,503447552,,30020800:FALSE|9202:FALSE|520020:FALSE,75.57|95.04|58.05|1,-2.1,75.57|95.04|58.05|1,-2.1,FALSE,503447552
FALSE,Limgrave,Flying Dragon Agheel,FALSE,45000010,1009460224,1043360340:FALSE,1043360800:FALSE|530110:FALSE,-112.19|66.72|18.52|1,-2.31,-112.19|66.72|18.52|1,-2.31,FALSE,1009460224
FALSE,Limgrave,Godrick the Grafted,FALSE,47500014,167772160,10000801:FALSE,10000800:FALSE|10000720:FALSE|10002802:FALSE|9101:FALSE|9391:FALSE|9304:FALSE|71000:FALSE|3269:FALSE|3265:FALSE|61101:FALSE|510010:FALSE,-202.97|81.87|314.08|1,2.42,-202.97|81.87|314.08|1,2.42,FALSE,167772160
FALSE,Limgrave,Grave Warden Duelist,FALSE,34001110,503578624,,30040800:FALSE|9204:FALSE|520040:FALSE,-0.45|46.44|71.40|1,2.49,-0.45|46.44|71.40|1,2.49,FALSE,503578624
FALSE,Limgrave,Guardian Golem,FALSE,46600910,521207808,,31170800:FALSE|9235:FALSE|520350:FALSE,70.33|-9.42|179.88|1,-0.02,70.33|-9.42|179.88|1,-0.02,FALSE,521207808
FALSE,Limgrave,Mad Pumpkin Head,FALSE,43400910,1009525760,,1044360800:FALSE|76120:FALSE,17.95|80.81|51.57|1,-0.06,17.95|80.81|51.57|1,-0.06,FALSE,1009525760
FALSE,Limgrave,Margit the Fell Omen,TRUE,21300014,167772160,10000851:FALSE,10000850:FALSE|9100:FALSE|60510:FALSE|71001:FALSE,21.23|-7.15|-11.37|1,1.48,21.23|-7.15|-11.37|1,1.48,FALSE,167772160
FALSE,Limgrave,Night's Cavalry,TRUE,31500010,1009460480,,1043370800:FALSE|1043377400:FALSE,53.21|89.65|-120.50|1,-2.46,53.21|89.65|-120.50|1,-2.46,TRUE,1009460480
FALSE,Limgrave,Patches,TRUE,523090010,520093696,31008521:FALSE|31003702:FALSE|31009210:FALSE,31000800:FALSE|9232:FALSE|400183:FALSE|400189:FALSE|520320:FALSE|3683:FALSE|3680:FALSE|31002860:FALSE|31008820:FALSE|3686:FALSE|3682:TRUE|3685:TRUE,18.52|46.98|69.51|1,-1.38,18.52|46.98|69.51|1,-1.38,FALSE,520093696
FALSE,Limgrave,Soldier of Godrick,FALSE,43113906,301989888,,18000850:FALSE,-5.91|9.09|80.35|1,0.78,-5.91|9.09|80.35|1,0.78,FALSE,301989888
FALSE,Limgrave,Stonedigger Troll,FALSE,46030910,536936448,32018590:FALSE|32010801:FALSE,32010800:FALSE|9261:FALSE|520610:FALSE,50.15|-29.96|16.95|1,0.93,50.15|-29.96|16.95|1,0.93,FALSE,536936448
FALSE,Limgrave,Tibia Mariner,FALSE,49500032,1009592064,,1045390800:FALSE|530170:FALSE,-110.72|95.81|-20.88|1,-2.02,-110.72|95.81|-20.88|1,-2.02,FALSE,1009592064
FALSE,Limgrave,Tree Sentinel,FALSE,32510010,1009394688,,1042360800:FALSE|530100:FALSE,-26.75|78.72|-20.25|1,-2.91,-26.75|78.72|-20.25|1,-2.91,FALSE,1009394688
FALSE,Limgrave,Ulcerated Tree Spirit,FALSE,46400950,301989888,,18000800:FALSE|9128:FALSE|510280:FALSE,12.97|-111.58|87.40|1,-0.47,12.97|-111.58|87.40|1,-0.47,FALSE,301989888
FALSE,Weeping Peninsula,Ancient Hero of Zamor,FALSE,71000012,1009393920,,1042330800:FALSE|1042337100:FALSE,-107.90|18.85|106.41|1,1.33,-107.90|18.85|106.41|1,1.33,FALSE,1009393920
FALSE,Weeping Peninsula,Cemetery Shade,FALSE,36640920,503316480,,30000800:FALSE|9200:FALSE|520000:FALSE,-33.18|46.24|68.07|1,-1.57,-33.18|46.24|68.07|1,-1.57,FALSE,503316480
