# ERDMod Chinese item catalog
# Source: Chinese Elden Ring CT v4.25 for game 1.16.1
# Format: kind|ct_raw_id|name

# WeaponDropdown(0)
weapon|110000|徒手
weapon|1000000|匕首
weapon|1000100|厚重匕首
weapon|1000200|锋利匕首
weapon|1000300|优质匕首
weapon|1000400|火焰匕首
weapon|1000500|焰术匕首
weapon|1000600|雷电匕首
weapon|1000700|神圣匕首
weapon|1000800|魔力匕首
weapon|1000900|寒冷匕首
weapon|1001000|毒匕首
weapon|1001100|血匕首
weapon|1001200|神秘匕首
weapon|1010000|黑刀
weapon|1020000|格挡匕首
weapon|1020100|厚重格挡匕首
weapon|1020200|锋利格挡匕首
weapon|1020300|优质格挡匕首
weapon|1020400|火焰格挡匕首
weapon|1020500|焰术格挡匕首
weapon|1020600|雷电格挡匕首
weapon|1020700|神圣格挡匕首
weapon|1020800|魔力格挡匕首
weapon|1020900|寒冷格挡匕首
weapon|1021000|毒格挡匕首
weapon|1021100|血格挡匕首
weapon|1021200|神秘格挡匕首
weapon|1030000|慈悲短剑
weapon|1030100|厚重慈悲短剑
weapon|1030200|锋利慈悲短剑
weapon|1030300|优质慈悲短剑
weapon|1030400|火焰慈悲短剑
weapon|1030500|焰术慈悲短剑
weapon|1030600|雷电慈悲短剑
weapon|1030700|神圣慈悲短剑
weapon|1030800|魔力慈悲短剑
weapon|1030900|寒冷慈悲短剑
weapon|1031000|毒慈悲短剑
weapon|1031100|血慈悲短剑
weapon|1031200|神秘慈悲短剑
weapon|1040000|逆刺
weapon|1050000|结晶小刀
weapon|1060000|庆典小镰刀
weapon|1060100|厚重庆典小镰刀
weapon|1060200|锋利庆典小镰刀
weapon|1060300|优质庆典小镰刀
weapon|1060400|火焰庆典小镰刀
weapon|1060500|焰术庆典小镰刀
weapon|1060600|雷电庆典小镰刀
weapon|1060700|神圣庆典小镰刀
weapon|1060800|魔力庆典小镰刀
weapon|1060900|寒冷庆典小镰刀
weapon|1061000|毒庆典小镰刀
weapon|1061100|血庆典小镰刀
weapon|1061200|神秘庆典小镰刀
weapon|1070000|辉石克力士
weapon|1080000|蝎尾针
weapon|1090000|单刃小刀
weapon|1090100|厚重单刃小刀
weapon|1090200|锋利单刃小刀
weapon|1090300|优质单刃小刀
weapon|1090400|火焰单刃小刀
weapon|1090500|焰术单刃小刀
weapon|1090600|雷电单刃小刀
weapon|1090700|神圣单刃小刀
weapon|1090800|魔力单刃小刀
weapon|1090900|寒冷单刃小刀
weapon|1091000|毒单刃小刀
weapon|1091100|血单刃小刀
weapon|1091200|神秘单刃小刀
weapon|1100000|胁差
weapon|1100100|厚重胁差
weapon|1100200|锋利胁差
weapon|1100300|优质胁差
weapon|1100400|火焰胁差
weapon|1100500|焰术胁差
weapon|1100600|雷电胁差
weapon|1100700|神圣胁差
weapon|1100800|魔力胁差
weapon|1100900|寒冷胁差
weapon|1101000|毒胁差
weapon|1101100|血胁差
weapon|1101200|神秘胁差
weapon|1110000|五指剑
weapon|1130000|象牙小镰刀
weapon|1140000|普通染血短刀
weapon|1140100|厚重染血短刀
weapon|1140200|锋利染血短刀
weapon|1140300|优质染血短刀
weapon|1140400|火焰染血短刀
weapon|1140500|焰术染血短刀
weapon|1140600|雷电染血短刀
weapon|1140700|神圣染血短刀
weapon|1140800|魔力染血短刀
weapon|1140900|寒冷染血短刀
weapon|1141000|毒染血短刀
weapon|1141100|血染血短刀
weapon|1141200|神秘染血短刀
weapon|1150000|黄铜短刀
weapon|1150100|厚重黄铜短刀
weapon|1150200|锋利黄铜短刀
weapon|1150300|优质黄铜短刀
weapon|1150400|火焰黄铜短刀
weapon|1150500|焰术黄铜短刀
weapon|1150600|雷电黄铜短刀
weapon|1150700|神圣黄铜短刀
weapon|1150800|魔力黄铜短刀
weapon|1150900|寒冷黄铜短刀
weapon|1151000|毒黄铜短刀
weapon|1151100|血黄铜短刀
weapon|1151200|神秘黄铜短刀
weapon|1160000|使命短刀
weapon|2000000|长剑
weapon|2000100|厚重长剑
weapon|2000200|锋利长剑
weapon|2000300|优质长剑
weapon|2000400|火焰长剑
weapon|2000500|焰术长剑
weapon|2000600|雷电长剑
weapon|2000700|神圣长剑
weapon|2000800|魔力长剑
weapon|2000900|寒冷长剑
weapon|2001000|毒长剑
weapon|2001100|血长剑
weapon|2001200|神秘长剑
weapon|2010000|短剑
weapon|2010100|厚重短剑
weapon|2010200|锋利短剑
weapon|2010300|优质短剑
weapon|2010400|火焰短剑
weapon|2010500|焰术短剑
weapon|2010600|雷电短剑
weapon|2010700|神圣短剑
weapon|2010800|魔力短剑
weapon|2010900|寒冷短剑
weapon|2011000|毒短剑
weapon|2011100|血短剑
weapon|2011200|神秘短剑
weapon|2020000|阔剑
weapon|2020100|厚重阔剑
weapon|2020200|锋利阔剑
weapon|2020300|优质阔剑
weapon|2020400|火焰阔剑
